Depth	Depth_m	Depth_m(Nablank)	Admix_71_Pop1	Admix_71_Pop2	Admix_All_Pop1	Admix_All_Pop2	PC1_AllSNPs
0-5m	3	3	0.749444	0.250556	0.461271	0.538729	0.00631714
0-5m	3	3	0.121973	0.878027	0.00001	0.99999	-0.0252305
0-5m	3	3	0.490544	0.509456	0.203409	0.796591	-0.0114464
0-5m	3	3	0.451471	0.548529	0.034101	0.965899	-0.021436
0-5m	3	3	0.00001	0.99999	0.00001	0.99999	-0.0364225
0-5m	3	3	0.003373	0.996627	0.00001	0.99999	-0.0327204
0-5m	3	3	0.00001	0.99999	0.020513	0.979487	-0.0297483
0-5m	3	3	0.256212	0.743788	0.035614	0.964386	-0.030777
0-5m	3	3	0.668689	0.331311	0.00001	0.99999	-0.0356149
0-5m	3	3	0.00001	0.99999	0.00001	0.99999	-0.0497649
5-10m	7	7	0.420907	0.579093	0.059981	0.940019	-0.0278372
5-10m	7	7	0.660391	0.339609	0.00001	0.99999	-0.0291079
5-10m	7	7	0.00001	0.99999	0.056976	0.943024	-0.022736
5-10m	7	7	0.029814	0.970186	0.030451	0.969549	-0.0300683
5-10m	7	7	0.560273	0.439727	0.00001	0.99999	-0.0486596
5-10m	7	7	0.527008	0.472992	0.259625	0.740375	-0.00867373
5-10m	7	7	0.166544	0.833456	0.204206	0.795794	-0.00642281
5-10m	7	7	0.205345	0.794655	0.08905	0.91095	-0.0218448
0-5m	3	3	0.00001	0.99999	0.157067	0.842933	-0.0158266
0-5m	3	3	0.445775	0.554225	0.465206	0.534794	0.00932434
0-5m	3	3	0.693986	0.306014	0.00001	0.99999	-0.0250528
0-5m	3	3	0.707161	0.292839	0.46881	0.53119	0.00771761
0-5m	3	3	0.267731	0.732269	0.083148	0.916852	-0.021976
0-5m	3	3	0.482085	0.517915	0.00001	0.99999	-0.0399273
5-10m	7	7	0.050066	0.949934	0.342908	0.657092	-0.00261115
5-10m	7	7	0.00001	0.99999	0.048616	0.951384	-0.0242348
5-10m	7	7	0.869998	0.130002	0.664685	0.335315	0.0189658
5-10m	7	7	0.329198	0.670802	0.096121	0.903879	-0.0200196
5-10m	7	7	0.19818	0.80182	0.255829	0.744171	-0.00687903
5-10m	7	7	0.393568	0.606432	0.388475	0.611525	-0.000931916
5-10m	7	7	0.260345	0.739655	0.195057	0.804943	-0.0166839
10-15m	12	12	0.99999	0.00001	0.918374	0.081626	0.0438059
10-15m	12	12	0.499807	0.500193	0.59464	0.40536	0.0175623
10-15m	12	12	0.680601	0.319399	0.520005	0.479995	0.00914579
20-25m	22	22	0.195983	0.804017	0.00001	0.99999	-0.0642675
20-25m	22	22	0.769737	0.230263	0.458247	0.541753	0.00797188
20-25m	22	22	0.554256	0.445744	0.493462	0.506538	0.0111177
20-25m	22	22	0.566602	0.433398	0.592701	0.407299	0.012133
5-10m	7	7	0.778526	0.221474	0.739011	0.260989	0.024205
5-10m	7	7	0.657014	0.342986	0.769931	0.230069	0.0300523
5-10m	7	7	0.021163	0.978837	0.214643	0.785357	-0.0138198
10-15m	12	12	0.463108	0.536892	0.442695	0.557305	0.00543967
10-15m	12	12	0.535443	0.464557	0.327418	0.672582	-0.00821365
10-15m	12	12	0.180671	0.819329	0.514677	0.485323	0.00815283
10-15m	12	12	0.874832	0.125168	0.552703	0.447297	0.0139043
10-15m	12	12	0.99999	0.00001	0.99999	0.00001	0.0554012
15-20m	18	18	0.30146	0.69854	0.300958	0.699042	-0.00394436
20-25m	22	22	0.708888	0.291112	0.772228	0.227772	0.0264763
15-20m	18	18	0.599489	0.400511	0.588263	0.411737	0.0146074
15-20m	18	18	0.752163	0.247837	0.99999	0.00001	0.0531719
15-20m	18	18	0.99999	0.00001	0.99999	0.00001	0.0448255
20-25m	22	22	0.468557	0.531443	0.439417	0.560583	0.00782083
20-25m	22	22	0.935398	0.064602	0.695359	0.304641	0.0227515
20-25m	22	22	0.802861	0.197139	0.552624	0.447376	0.0141483
20-25m	22	22	0.778469	0.221531	0.695315	0.304685	0.0289797
20-25m	22	22	0.642031	0.357969	0.718758	0.281242	0.0247891
20-25m	22	22	0.99999	0.00001	0.99999	0.00001	0.0441339
20-25m	22	22	0.99999	0.00001	0.92804	0.07196	0.0391585
0-5m	3	3	0.364423	0.635577	0.00001	0.99999	-0.0339907
0-5m	3	3	0.313392	0.686608	0.134562	0.865438	-0.0121431
0-5m	3	3	0.115283	0.884717	0.00001	0.99999	-0.047677
0-5m	3	3	0.264806	0.735194	0.102336	0.897664	-0.0214851
0-5m	3	3	0.535193	0.464807	0.725001	0.274999	0.0275919
0-5m	3	3	0.410525	0.589475	0.00001	0.99999	-0.0325304
0-5m	3	3	0.149298	0.850702	0.195805	0.804195	-0.0137684
0-5m	3	3	0.00001	0.99999	0.00001	0.99999	-0.0354729
0-5m	3	3	0.312301	0.687699	0.31718	0.68282	-0.00466464
0-5m	3	3	0.522986	0.477014	0.00001	0.99999	-0.0335084
0-5m	3	3	0.695867	0.304133	0.034621	0.965379	-0.026008
0-5m	3	3	0.00001	0.99999	0.00001	0.99999	-0.031176
0-5m	3	3	0.238884	0.761116	0.00001	0.99999	-0.0392701
0-5m	3	3	0.169788	0.830212	0.00001	0.99999	-0.0370358
0-5m	3	3	0.00001	0.99999	0.00001	0.99999	-0.0393266
0-5m	3	3	0.320997	0.679003	0.00001	0.99999	-0.0452375
