Depth	Repeat	Intensity
0.5	sidewelling_1	8081.87
1	sidewelling_1	11407.77
2	sidewelling_1	12065.46
3	sidewelling_1	27091.7
4	sidewelling_1	16280.77
5	sidewelling_1	4894.06
6	sidewelling_1	10022.17
7	sidewelling_1	6148.59
8	sidewelling_1	4748.95
9	sidewelling_1	3283.77
10	sidewelling_1	3061.42
11	sidewelling_1	1839.66
12	sidewelling_1	868.34
13	sidewelling_1	594.5
14	sidewelling_1	292.57
0.5	sidewelling_2	2138.99
1	sidewelling_2	2416.21
2	sidewelling_2	4088.92
3	sidewelling_2	3049.72
4	sidewelling_2	2658.85
5	sidewelling_2	2415.43
6	sidewelling_2	1851.36
7	sidewelling_2	1155.96
8	sidewelling_2	858.85
9	sidewelling_2	760.8
10	sidewelling_2	1795.19
11	sidewelling_2	1442.55
12	sidewelling_2	724.92
13	sidewelling_2	676.41
14	sidewelling_2	430.66
15	sidewelling_2	528.96
16	sidewelling_2	493.85
17	sidewelling_2	358.1
18	sidewelling_2	318.31
19	sidewelling_2	334.7
20	sidewelling_2	308.95
21	sidewelling_2	304.27
22	sidewelling_2	320.65
23	sidewelling_2	327.68
24	sidewelling_2	330.02
25	sidewelling_2	308.95
0.5	sidewelling_3	2656.51
1	sidewelling_3	1952.01
2	sidewelling_3	2115.84
3	sidewelling_3	2202.44
4	sidewelling_3	2256.28
5	sidewelling_3	6778.19
6	sidewelling_3	2495.01
7	sidewelling_3	2913.97
8	sidewelling_3	3229.94
9	sidewelling_3	987.71
10	sidewelling_3	1008.77
11	sidewelling_3	547.69
12	sidewelling_3	416.62
13	sidewelling_3	91.28
14	sidewelling_3	79.58
15	sidewelling_3	56.17
16	sidewelling_3	241.08
17	sidewelling_3	39.79
18	sidewelling_3	25.75
19	sidewelling_3	46.81
20	sidewelling_3	53.83
21	sidewelling_3	77.24
22	sidewelling_3	70.22
23	sidewelling_3	128.73
24	sidewelling_3	131.07
25	sidewelling_3	163.84
0.5	sidewelling_4	19305.91
1	sidewelling_4	18501.79
1.5	sidewelling_4	21154.35
2	sidewelling_4	49639.69
3	sidewelling_4	24493.71
4	sidewelling_4	18411.53
5	sidewelling_4	15806.22
6	sidewelling_4	16555.05
7	sidewelling_4	7118.15
8	sidewelling_4	6017.96
9	sidewelling_4	4794
10	sidewelling_4	3673.18
11	sidewelling_4	3163.09
12	sidewelling_4	2463.12
13	sidewelling_4	2044.46
14	sidewelling_4	1824.74
15	sidewelling_4	1705.96
16	sidewelling_4	2030.41
17	sidewelling_4	1554.85
18	sidewelling_4	2041.97
19	sidewelling_4	1946.45
20	sidewelling_4	1831.62
21	sidewelling_4	1231.85
22	sidewelling_4	982.59
23	sidewelling_4	799.73
24	sidewelling_4	650.38
25	sidewelling_4	596.84
0.5	sidewelling_5	13885.96
1	sidewelling_5	9852.49
1.5	sidewelling_5	6085.83
2	sidewelling_5	6718.51
3	sidewelling_5	7620.35
4	sidewelling_5	10069.28
5	sidewelling_5	7258.44
6	sidewelling_5	3744.86
7	sidewelling_5	3556.01
8	sidewelling_5	3827.51
9	sidewelling_5	3517.83
10	sidewelling_5	1640.72
11	sidewelling_5	1372.72
12	sidewelling_5	1378.72
13	sidewelling_5	1998.82
14	sidewelling_5	1259.65
15	sidewelling_5	961.67
16	sidewelling_5	788.47
17	sidewelling_5	586.45
18	sidewelling_5	605.32
19	sidewelling_5	676.12
20	sidewelling_5	522.82
21	sidewelling_5	628.87
22	sidewelling_5	528.08
23	sidewelling_5	505.12
24	sidewelling_5	480.69
25	sidewelling_5	431.98
