Depth	May_6_2016_SW	May_7_2016_SW	Aug_14_2015_SW	Aug_15_2015_Sw_a
0.5	19305.91	13885.96	8081.87	2138.99
1	18501.79	9852.49	11407.77	2416.21
1.5	21154.35	6085.83	NA	NA
2	49639.69	6718.51	12065.46	4088.92
3	24493.71	7620.35	27091.7	3049.72
4	18411.53	10069.28	16280.77	2658.85
5	15806.22	7258.44	4894.06	2415.43
6	16555.05	3744.86	10022.17	1851.36
7	7118.15	3556.01	6148.59	1155.96
8	6017.96	3827.51	4748.95	858.85
9	4794	3517.83	3283.77	760.8
10	3673.18	1640.72	3061.42	1795.19
11	3163.09	1372.72	1839.66	1442.55
12	2463.12	1378.72	868.34	724.92
13	2044.46	1998.82	594.5	676.41
14	1824.74	1259.65	292.57	430.66
15	1705.96	961.67	0	528.96
16	2030.41	788.47	0	493.85
17	1554.85	586.45	0	358.1
18	2041.97	605.32	0	318.31
19	1946.45	676.12	NA	334.7
20	1831.62	522.82	NA	308.95
21	1231.85	628.87	NA	304.27
22	982.59	528.08	NA	320.65
23	799.73	505.12	NA	327.68
24	650.38	480.69	NA	330.02
25	596.84	431.98	NA	308.95
26	479.96	NA	NA	325.33
